승차시각,하차시각,노선명,노선설명,승객연령,환승여부,추가운임여부,승차정류장,승차정류장 GPS X,승차정류장 GPS Y,하차정류장,하차정류장 GPS X,하차정류장 GPS Y,월,일,체류시간,승차-하차정류장
20200106104335,20200106121334,175,문덕-고속터미널-선린병원-달전,일반,Y,N,남구보건소,129.396855,35.992624,새마을금고 원동지점,129.402977,35.967081,1,6,1:29:59,남구보건소-새마을금고 원동지점
20200102092326,20200102105325,175,문덕-고속터미널-선린병원-달전,일반,Y,N,남구보건소,129.396855,35.992624,오천농협,129.40281,35.970003,1,2,1:29:59,남구보건소-오천농협
20200219093120,20200219110118,107,문덕-시외(고속)터미널-흥해,일반,N,N,경북자동차학원,129.343972,35.997978,죽도시장,129.365486,36.03411,2,19,1:29:58,경북자동차학원-죽도시장
20200210122017,20200210135015,107,문덕-시외(고속)터미널-흥해,일반,N,N,삼도한솔타운,129.3499,35.99065,죽도시장,129.365486,36.03411,2,10,1:29:58,삼도한솔타운-죽도시장
20200210122017,20200210135015,107,문덕-시외(고속)터미널-흥해,일반,N,N,삼도한솔타운,129.3499,35.99065,죽도시장,129.365486,36.03411,2,10,1:29:58,삼도한솔타운-죽도시장
20200121100605,20200121113601,160,문덕-대송-송도-죽도-용흥,일반,N,N,대송교회,129.362279,35.981103,반도맨션,129.36625,36.01656,1,21,1:29:56,대송교회-반도맨션
20200213141658,20200213154654,130,양덕-장량지구-양학-시청-송도-장량지구-양덕,일반,N,N,대림골든빌,129.37998,36.08127,두호동주민센터,129.380019,36.061245,2,13,1:29:56,대림골든빌-두호동주민센터
20200112105917,20200112122912,107,문덕-시외(고속)터미널-흥해,일반,N,N,시외버스터미널,129.35058,36.01325,죽도시장,129.365486,36.03411,1,12,1:29:55,시외버스터미널-죽도시장
20200205114603,20200205131558,130,양덕-장량지구-양학-시청-송도-장량지구-양덕,일반,N,N,장량5단지,129.394611,36.089082,롯데백화점,129.37025,36.05028,2,5,1:29:55,장량5단지-롯데백화점
20200205114603,20200205131558,130,양덕-장량지구-양학-시청-송도-장량지구-양덕,일반,N,N,장량5단지,129.394611,36.089082,롯데백화점,129.37025,36.05028,2,5,1:29:55,장량5단지-롯데백화점
20200205114603,20200205131558,130,양덕-장량지구-양학-시청-송도-장량지구-양덕,일반,N,N,장량5단지,129.394611,36.089082,롯데백화점,129.37025,36.05028,2,5,1:29:55,장량5단지-롯데백화점
20200102175303,20200102192257,108,양덕-죽도-양학-시청-유강-지곡,일반,Y,N,북부시장,129.36814,36.045735,법원검찰청,129.387127,36.090359,1,2,1:29:54,북부시장-법원검찰청
20200120085340,20200120102334,175,문덕-고속터미널-선린병원-달전,일반,N,N,해도119안전센터,129.36826,36.0235,오천농협,129.40281,35.970003,1,20,1:29:54,해도119안전센터-오천농협
20200310120128,20200310133121,109,양덕-시외터미널-위덕대(유강),일반,Y,N,대동우방아파트,129.360148,36.05062,농협하나로클럽,129.398558,36.081895,3,10,1:29:53,대동우방아파트-농협하나로클럽
20200102115720,20200102132712,210,양덕-우현사거리-KTX-남부육교-공항-동해-구룡포,일반,N,N,KTX포항역(흥해행),129.342018,36.072283,장성초등학교,129.37209,36.06831,1,2,1:29:52,KTX포항역(흥해행)-장성초등학교
